Time Posted,"Image URL","Caption","Media Type (Image, Video, Carousel)","Engagements","Views","Reach","Clicks","Likes","Shares","Comments"
"Jun 20, 2025 10:33:24 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/199580510161485_1169726775188910-144cc23ee20e80.jpg","Huge shoutout to 33 North at @wamonarchbeach for winning the Forbes Travel Guide's 2025 Hotel Star Bars award! 

This award recognizes Star-Rated hotels and their bars for exceptional performance on incognito inspection standards related to the quality of the beverage program, presentation, and luxurious service. 

We are so lucky to be partnered with such an incredible resort. Congratulations! 

#visitdanapoint #mydanapoint #danapoint","photo","21","1829","1316","11","9",,"1"
"Jun 6, 2025 10:01:04 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/199580510161485_1158540566307531-9c4eae3d8c259c.jpg","Reporting live from Dana Point🚨A beautiful sunny weekend awaits😎☀ Come see it for yourself!

#visitdanapoint #mydanapoint #danapoint","video_inline","316","16739","11328",,"261","21","8"
"Jun 5, 2025 12:51:06 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/199580510161485_1157863753041879-00358117f0a0d1.jpg","Everyone meet our newest team member, Charlie🐶🐾 

Skills include excessive tail wags and puppy dog eyes🥹 We’re getting a lot done over here! 

#officedoglife #officepuppy #visitdanapoint #mydanapoint #danapoint","photo","408","14687","10946","260","91","1","11"
"May 29, 2025 10:49:25 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/199580510161485_1152039003624354-0295712c236c7c.jpg","🧭 Join the adventure! The Dana Point Scavenger Hunt kicks off next week and we’re proud to be a part of it!

📍 Explore 10 iconic locations
📸 Snap pics for a chance to win prizes
🌊 Learn fun local and historical facts along the way

Let’s celebrate the spirit of our beautiful coastal town and make some memories!

🗓️ Start anytime between June 1 and June 30
🔗 Participation details at StandUpToTrash.com/scavenger-hunt

#DanaPointScavengerHunt #ExploreDanaPoint #danapoint #mydanapoint","album","19","1067","713","13","5",,"0"
"May 23, 2025 03:13:00 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/199580510161485_1147430704085184-bf785c0e60ee3f.jpg","Long weekend mode: ACTIVATED!😎 Memorial Day weekend is finally here!☀

Time to honor, celebrate, and turn up the fun! However you choose to enjoy the long weekend, Dana Point has something for everyone! 

Don't forget- the Dana Point Summer trolley is back up and running starting today!🚎Catch a FREE ride and hop on and off to get to your favorite spots! We can't wait to see you all!

#visitdanapoint #mydanapoint #danapoint","photo","580","19465","16298","357","169","12","5"
"May 21, 2025 09:11:11 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/199580510161485_1145666640928257-a66a9d07f7e16a.jpg","The Dana Point Summer Trolley is back!!! Starting this Friday, May 23rd-September 1st, come ride with us, all Summer long!🚎😎

Visit our link in bio for the 2025 trolley guide and everything you need to know to get around Dana Point this Summer!

#visitdanapoint #mydanapoint #danapoint","album","684","14853","11998","389","243","25","1"
"May 1, 2025 10:00:32 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/199580510161485_1130245065803748-8d1a63435bc6fa.jpg","Happy May from Visit Dana Point! We have a lot of exciting events happening this month whether your local or just visiting, Dana Point is the place to be!☀

🗓️ Visit our #linkinbio for a full calendar of events in the community and at our local resorts.

#visitdanapoint #mydanapoint #danapoint","album","55","1777","1280","41","9","3","0"
"Apr 25, 2025 02:00:18 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/199580510161485_1125531609608427-646a5fc9cb7bdf.jpg","The #redomarket is back this Sunday in Dana Point!😎☀ 4 blocks of Del Prado filled with 200+ amazing vendors, tasty food, live music, and fun for the whole fam. 🛍️🎶🍔 Come sip, shop, and stroll!

This event is on Del Prado Avenue this Sunday, April 27th from 9am-4pm. Parking is limited, so make sure to plan ahead!

 #visitdanapoint #mydanapoint #danapoint","album","216","5933","4251","183","29","1","1"
"Apr 23, 2025 06:00:05 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/199580510161485_1123999523094969-6a8f8f57d85645.jpg","The countdown is on for the #calwinefest in just TWO days! 

This two day event starts on Friday, April 25th-26th. Yes, its a two day event and we cannot wait! Head to the @calwinefest link in bio to get your tickets before they sell out🍷💃 See you there!

#californiawinefestival #visitdanapoint #mydanapoint #danapoint","album","53","1709","1108","37","11","1","2"
"Apr 22, 2025 09:00:18 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/199580510161485_1122857519875836-895fc54edc7cf8.jpg","Happy Earth Day!🌍🌅🐋

Earth Day is a time to reflect on our collective responsibility to care for the planet, protect its resources, and make choices that will ensure a sustainable future for generations to come. Here at Visit Dana Point, we are deeply committed to promoting environmental conservation, protecting our oceans, and supporting sustainable tourism. With its stunning coastline, diverse marine life, and vibrant ecosystems, Dana Point is the perfect place to connect with nature and take steps toward a greener future.

Small actions can add up to create a big impact, and by making sustainable choices during your visit, you’ll help preserve the stunning landscapes and marine life that make this area so special. Whether you're helping clean up the beach, reducing waste, or supporting local eco-friendly businesses, every effort counts. Let’s work together to protect our planet, our oceans, and the future of Dana Point.
Happy Earth Day from Visit Dana Point! 🌍💚

#EarthDay #danapoint #mydanapoint #visitdanapoint","album","443","11106","8091","200","165","21","2"
"Apr 17, 2025 09:00:52 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/199580510161485_1118782316950023-e5b1596386e433.jpg","Easter brunch with ocean views? Count us in! @lagunacliffs is offering a memorable Easter brunch experience featuring an elegant buffet of chef's creations and even a visit from the Easter Bunny himself🥰🐰 Enjoy live entertainment and activities for kids this Sunday!

Reservations available from 10am-2pm.

#visitdanapoint #mydanapoint #danapoint","album","48","1113","782","35","13",,"0"
"Apr 16, 2025 06:00:19 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/199580510161485_1118261723668749-7be2f674ce0857.jpg","Our friends at @wamonarchbeach have lots of exciting Easter happenings this year!🐰🥂 Come celebrate Easter in style with multiple family-friendly experiences they are offering:

🐣Grand Lawn Easter Egg Hunt: Start your celebration by making everlasting moments together as you hunt for eggs as a family, and delight in spring-inspired festivities available all morning long including bounce houses, face painting, a balloon artist, and photo-ops with the Easter Bunny! Hunting begins at 9:30am-12pm.

AVEO Table+Bar: Celebrate Easter with a festive brunch buffet at AVEO Table+Bar. Dine on the outdoor terrace and explore an expansive spread of culinary offerings.. Reservations available from 9:30am-2:30pm.

Bourbon Steak: Enjoy and exclusive prix fixe menu showcasing a selection of savory starters, signature entrees, brunch-inspired dishes, handcrafted desserts, and a glass of Champagne for a festive flair. Reservations available for brunch from 11:00am-4:00pm.

Monarch Bay Beach Club: Dine just steps from the surf and sand and enjoy a seaside Easter Brunch or dinner experience and enjoy Chef Seth’s coastal-inspired Easter specials of savory creations from both land and sea. Reservations available for brunch from 10:30am-2:30pm, dinner from 2:30pm-9:00pm.

Club 19: Enjoy a casual breakfast experience on Easter Sunday with a savory a la carte menu, complimented by a range of festive mimosas and other libations. Dine on our outdoor patio with ocean and golf course views or gather together in the comfort of our indoor dining room in front of our cozy fireplace. Reservations available from 8:00am-12:00pm.

#visitdanapoint #mydanapoint #danapoint","album","11","928","662","2","7",,"1"
"Apr 16, 2025 10:00:17 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/199580510161485_1118011567027098-39c82bf8dc5f60.jpg","The very first baby grey whale of the season was spotted by our friends at @danawharf on Sunday!🐋 

""Captain Brandon on board the Dana Pride spotted two blows in front of San Juan Rock. At last, our first Gray Whale cow/calf pair was heading north in front of the Dana Point Headlands. Seeing the blow from the mom (cow) and then the tiny “puff” from the calf delighted all onboard! This pair stayed very close to shore, and we relocated them off Aliso Canyon and now they seemed to have a Coastal Bottlenose Dolphin Escort leading the way. We wished this pair well as we left them off Victoria Beach.""

#danawharfwhalewatching #danapoint #mydanapoint #visitdanapoint","album","744","17877","13194","402","232","28","9"
"Apr 15, 2025 01:28:11 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/199580510161485_1117325483762373-e722a023a22eb9.jpg","We're so excited that Trestles Beach was selected to host surfing at the #LA28  Olympics! Congrats to the City of San Clemente and State Parks. Go South Orange County!🏄🌊

#visitdanapoint #mydanapoint #danapoint","photo","898","21325","14390","695","146","14","5"
"Apr 12, 2025 10:00:11 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/199580510161485_1114695544025367-50b4e2181544ef.jpg","Come celebrate Easter with ocean views at @ritzcarltonlagunaniguel with multiple dining experiences you won't want to miss! 

👀...maybe a visit from the Easter bunny too😉🐰

🥂Easter Brunch in RAYA: Indulge in Easter Brunch featuring an elevated four-course menu. Jamon Eggs Benedict, Wagyu Steak & Eggs, and Coconut French Toast are just a few delicious items offered at this special brunch by the ocean. Reservations available from 12:00pm-2:30pm.

🥞Easter Brunch Buffet: Allow the resort's talented culinary team to prepare an indulgent brunch buffet featuring a display of tempting palate-pleasers. Enjoy a special appearance by the Easter Bunny and additional experiences for children. Reservations available from 10:30am-1:00pm. 

#visitdanapoint #mydanapoint #danapoint","album","87","2234","1565","44","26","3","5"
"Apr 11, 2025 10:00:14 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/199580510161485_1113812840780304-f4936c52ac3a4b.jpg","Happy #NationalPetDay!!🐾🩷 We're pawsitive your pet will love Dana Point just as much as we do!

Make sure to stop by @thedoggiebarkery to give your furry friends a treat on your walk in the harbor!

📸: @gossipinggoldens 
#visitdanapoint #mydanapoint #danapoint","photo","34","1335","958","10","18","1","1"
"Apr 10, 2025 10:00:30 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/199580510161485_1112965294198392-80d6db08168975.jpg","🌊🏄 Ride the waves of history and meet the Masters of Surf! 🌊🏄

Waterman's Plaza, located next to the pedestrian bridge on Pacific Coast Highway near Dana Point Harbor Drive, pays tribute to filmmakers, industry moguls, and pioneers of the surf industry.

Statues of timeless legends like Hobie Alter, Phil Edwards, Bruce Brown, Joyce Hoffman, John Severson, and tandem surfers Barrie and Steve Boehne are among the public art on display.

📷@jpvsphoto // @cityofdanapoint","album","331","8037","5900","175","120","9","2"
"Apr 9, 2025 10:00:12 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/199580510161485_1112086487619606-f06882409f769b.jpg","Days spent at Doheny State Beach are always good days in our book 💙☀️🌊🏄‍♂️
⠀
⠀
#VisitDanaPoint #MyDanaPoint #DanaPoint","album","312","4928","3721","247","53","4","3"
"Apr 8, 2025 10:00:14 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/199580510161485_1111011291060459-b7f34a25ed98bf.jpg","With Earth Day in April, we invite you to join us at a beach cleanup and help keep our beautiful coastline clean and vibrant for generations to come! 🌎💙💚

Save the date for one of the beach cleanups below, bring your friends, and let's create a cleaner, greener Dana Point!

🌊Sunday, April 13 @Stand Up To Trash  Beach Cleanup
📍Baby Beach & Ocean Institute
8:00-9:00am Yoga on the grass at Baby Beach 
9:00-10:30am Beach Cleanup 
10:30am Free Lunch & Learn at Ocean Institute 
🔗standuptotrash.com/beach-sign-up

🌊Friday, April 25 @doheny_state_beach_foundation and California State Parks Beach Cleanup 
📍Doheny State Beach - North of Lifeguard Station 
9:00am-Noon 
🔗dohenystatebeach.org/2025-beach-clean-ups/","photo","54","1169","841","24","22","3","0"
"Apr 7, 2025 10:00:27 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/199580510161485_1107361371425451-873891dbf2288c.jpg","Pre-summer vibes in Dana Point loading…. ☀️🌊🏄 #VisitDanaPoint","video_inline","89","2460","1948",,"58","9","2"
"Apr 6, 2025 10:00:16 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/199580510161485_1109071654587756-920f3e519cada4.jpg","From our signature beaches to stunning coastal cliffs, Dana Point’s beauty is unrivaled ✨😍

Plan your trip to Dana Point! visitdanapoint.com

#VisitDanaPoint #MyDanaPoint #DanaPoint","photo","412","14531","11358","273","108","7","7"
"Apr 3, 2025 04:00:02 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/199580510161485_1106420941519494-23c56f7d918bef.jpg","Get ready for a weekend of fine wine and coastal views at @calwinefest! 🍷Enjoy wine tastings, delicious food pairings, live entertainment and more.

✨ Sunset Rare & Reserve Tasting: Friday, April 25 at Laguna Cliffs Marriott Resort & Spa 
✨ Beachside Wine Festival: Saturday, April 26 at Sea Terrace Park

🔗californiawinefestival.com/dana-point

📷 @calwinefest 
#VisitDanaPoint #MyDanaPoint #DanaPoint","album","152","3749","2741","134","14",,"2"
"Apr 1, 2025 10:58:12 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/199580510161485_1104025175092404-a06ccefe75efc6.jpg","🌼🌊 April in Dana Point is packed with exciting events! Whether you’re a local or just visiting, there’s something for everyone to enjoy this month. See a full calendar of events at visitdanapoint.com/events","video_inline","92","27288","24887",,"75","10","2"
"Apr 1, 2025 10:00:10 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/199580510161485_1103281691833419-0a12039dd2ca87.jpg","🌼🌊 April and Dana Point is packed with exciting events! Whether you’re a local or just visiting, there’s something for everyone to enjoy this month.⠀🗓️ Check it out at visitdanapoint.com/events","video_inline","0",,"0",,"0",,"0"
"Mar 31, 2025 12:00:08 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/199580510161485_1103059188522336-b7d1cf68495d93.jpg","Experience unparalleled ocean views, timeless coastal style, and ultimate relaxation at Blue Lantern Inn, A Four Sisters Inn 
⠀
⠀
📷 @bluelanterninndanapoint 
#VisitDanaPoint #MyDanaPoint #DanaPoint","album","645","14916","11866","490","111","12","4"
"Mar 30, 2025 04:00:05 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/199580510161485_1100230252138563-4a64b8c8ae7df5.jpg","A warm sunset, cool breeze, and peaceful evening. Plan your next seaside getaway to Dana Point! 🌅 #VisitDanaPoint","video_inline","130","3755","3252",,"96","10","3"
"Mar 28, 2025 11:34:48 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/199580510161485_1100112118817043-dfe29884da77a4.jpg","🐶🏀 Unleash the fun at the Bark Madness event at Laguna Cliffs Marriott Resort & Spa on 3/29, the most paws-itively adorable event of the season.
⠀
Whether you’re a dog lover or just here for the adorable pups, come celebrate unconditional love and wagging tails at Bark Madness. Don’t miss the chance to make this an unforgettable memory with your four-legged bestie! 🐾
⠀
Featured offerings:
• Dress up with your paw-tner like your favorite basketball duo and be entered in our raffle.
⠀
• Live Music
⠀
• Savory food fare and craft cocktails for purchase
⠀
• Photo station with Photo keepsake
⠀
• Featured Complimentary Spirit and Wine Tastings
⠀
• Complimentary Housemade Pet Treats","photo","87","2924","2052","46","30","2","2"
"Mar 26, 2025 10:00:10 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/fb-analytics/199580510161485_1098315022330086-74e6a6a5768055.jpg","Soaking in the breathtaking beauty of Dana Point from above! 🕊️🌊
⠀
What’s your favorite thing to do in Dana Point? Drop it in the comments below 👇
⠀
#VisitDanaPoint #MyDanaPoint #DanaPoint","photo","1482","20704","14944","1076","254","39","41"
